carrera,modalidad,beca,edad,promedio,asistencias,aprobado
Arquitectura,Virtual,No,29,5.8,75,Si
Arquitectura,Hibrida,Si,27,9.1,68,Si
Economia,Presencial,Si,27,6.1,98,No
Derecho,Hibrida,Si,28,8.5,69,Si
Economia,Hibrida,Si,19,10.0,70,Si
Derecho,Hibrida,No,26,7.0,67,No
Economia,Virtual,No,29,9.2,38,No
Derecho,Presencial,No,30,7.3,55,No
Computacion,Virtual,Si,25,6.7,84,No
Economia,Presencial,Si,25,4.5,85,No
Industrial,Presencial,No,29,5.8,76,Si
Computacion,Presencial,No,25,4.7,65,No
Derecho,Virtual,No,23,8.0,79,Si
Industrial,Presencial,No,28,4.6,81,No
Economia,Presencial,No,21,6.7,65,No
Computacion,Hibrida,No,26,9.4,91,Si
Medicina,Virtual,Si,19,10.0,74,Si
Computacion,Presencial,No,21,9.9,100,Si
Computacion,Hibrida,Si,27,5.6,64,Si
Arquitectura,Presencial,No,20,9.9,84,Si
Derecho,Presencial,Si,20,4.699999999999999,100,No
Computacion,Presencial,No,18,4.8,76,No
Industrial,Presencial,No,25,8.7,82,Si
Medicina,Hibrida,Si,27,4.7,100,No
Computacion,Presencial,No,24,6.6,56,No
Medicina,Presencial,Si,23,7.8,61,No
Arquitectura,Hibrida,No,24,10.0,83,Si
Arquitectura,Hibrida,No,19,8.8,57,No
Industrial,Hibrida,Si,24,7.0,64,No
Medicina,Virtual,Si,23,7.3999999999999995,85,Si
Medicina,Presencial,Si,19,5.199999999999999,66,No
Arquitectura,Hibrida,No,28,4.7,72,No
Medicina,Hibrida,Si,22,8.1,78,Si
Industrial,Virtual,Si,19,6.199999999999999,69,Si
Derecho,Virtual,Si,27,9.6,81,Si
Economia,Virtual,No,18,5.1,42,No
Industrial,Hibrida,Si,19,8.8,63,Si
Derecho,Virtual,No,29,5.9,79,No
Derecho,Presencial,Si,28,5.0,78,No
Medicina,Virtual,No,21,8.5,49,No
Industrial,Hibrida,No,26,8.0,52,No
Arquitectura,Presencial,Si,21,6.3999999999999995,63,No
Economia,Virtual,Si,18,7.1,67,Si
Derecho,Hibrida,No,19,6.4,97,Si
Computacion,Virtual,Si,23,8.1,69,Si
Computacion,Virtual,Si,23,5.7,70,No
Computacion,Virtual,Si,21,6.8999999999999995,68,Si
Economia,Presencial,No,30,5.0,82,No
Arquitectura,Hibrida,Si,30,6.8999999999999995,96,No
Derecho,Presencial,Si,20,6.0,61,No
Industrial,Presencial,Si,30,8.4,79,Si
Medicina,Hibrida,No,28,5.9,84,No
Industrial,Virtual,No,27,4.3,75,No
Medicina,Presencial,Si,23,9.7,69,No
Arquitectura,Hibrida,No,25,7.5,100,Si
Computacion,Virtual,Si,23,8.4,73,Si
Economia,Hibrida,Si,26,8.1,52,No
Medicina,Hibrida,Si,23,6.5,79,Si
Arquitectura,Presencial,No,19,6.0,85,No
Economia,Virtual,Si,23,5.2,83,No
Industrial,Hibrida,No,20,7.6,55,No
Medicina,Hibrida,No,20,8.0,100,Si
Computacion,Hibrida,No,26,6.2,73,Si
Derecho,Virtual,No,21,5.4,49,No
Computacion,Hibrida,Si,28,6.5,99,No
Derecho,Presencial,Si,29,9.2,60,Si
Economia,Hibrida,Si,25,8.3,98,Si
Arquitectura,Presencial,No,30,8.7,62,Si
Arquitectura,Virtual,No,30,5.7,56,No
Derecho,Hibrida,Si,22,5.0,80,No
Computacion,Hibrida,Si,22,4.7,60,No
Derecho,Virtual,Si,21,9.200000000000001,67,Si
Economia,Presencial,No,19,6.2,51,No
Computacion,Hibrida,No,30,4.9,52,No
Medicina,Hibrida,Si,30,8.2,92,Si
Economia,Presencial,Si,26,10.0,88,Si
Economia,Presencial,No,19,4.3,76,No
Arquitectura,Virtual,Si,19,9.5,76,Si
Industrial,Presencial,No,24,4.0,72,No
Medicina,Presencial,Si,26,10.0,67,No
Arquitectura,Hibrida,Si,24,9.7,52,No
Economia,Hibrida,Si,23,8.899999999999999,72,No
Computacion,Hibrida,No,20,4.3,84,No
Industrial,Presencial,No,29,6.9,61,No
Computacion,Hibrida,No,18,5.8,52,No
Computacion,Virtual,No,26,6.4,64,Si
Industrial,Presencial,No,23,9.2,53,No
Economia,Virtual,Si,30,6.9,56,No
Derecho,Virtual,No,23,9.5,70,No
Industrial,Virtual,Si,24,7.8999999999999995,47,No
Industrial,Virtual,No,25,7.6,67,No
Economia,Virtual,Si,29,9.399999999999999,54,No
Computacion,Presencial,No,23,7.1,97,Si
Computacion,Presencial,No,18,4.8,65,No
Economia,Virtual,No,27,4.2,40,No
Economia,Virtual,Si,27,5.1,56,No
Computacion,Presencial,Si,25,7.199999999999999,85,Si
Industrial,Virtual,Si,27,5.8,70,No
Medicina,Presencial,No,19,8.9,85,Si
Computacion,Hibrida,No,22,9.1,95,Si
Industrial,Hibrida,Si,30,6.3,64,Si
Derecho,Presencial,No,18,6.2,86,Si
Arquitectura,Presencial,Si,19,6.5,95,No
Medicina,Hibrida,Si,20,10.0,97,Si
Economia,Presencial,Si,30,10.0,77,Si
Computacion,Hibrida,Si,22,5.7,70,Si
Arquitectura,Virtual,Si,22,5.3,72,No
Arquitectura,Presencial,Si,27,9.7,59,No
Arquitectura,Virtual,Si,18,5.0,78,No
Medicina,Hibrida,Si,25,9.8,93,Si
Derecho,Hibrida,No,22,6.7,94,Si
Medicina,Virtual,No,25,5.2,80,No
Economia,Hibrida,No,24,4.8,73,No
Computacion,Virtual,Si,25,4.8,66,No
Medicina,Hibrida,No,21,9.8,70,No
Industrial,Virtual,Si,30,5.4,63,No
Computacion,Presencial,No,26,6.7,65,Si
Economia,Presencial,Si,22,7.5,91,Si
Computacion,Presencial,No,20,9.3,96,Si
Medicina,Virtual,Si,24,4.7,77,No
Arquitectura,Virtual,No,27,8.1,48,No
Medicina,Virtual,No,26,9.6,94,Si
Medicina,Hibrida,Si,18,4.8,100,No
Derecho,Hibrida,Si,23,9.7,70,No
Industrial,Virtual,No,26,9.0,64,No
Economia,Virtual,Si,23,6.5,39,No
Industrial,Hibrida,Si,27,7.3999999999999995,91,Si
Arquitectura,Presencial,Si,27,7.4,83,Si
Medicina,Presencial,Si,18,7.6000000000000005,100,Si
Medicina,Presencial,No,29,5.2,96,No
Industrial,Hibrida,Si,29,5.2,63,No
Medicina,Hibrida,No,23,9.7,92,Si
Economia,Hibrida,No,27,6.9,65,Si
Economia,Presencial,No,30,5.7,63,No
Medicina,Virtual,No,23,7.4,95,Si
Industrial,Hibrida,No,24,8.9,99,Si
Economia,Presencial,No,29,4.5,78,No
Industrial,Virtual,Si,21,9.1,54,No
Arquitectura,Presencial,Si,18,8.2,83,Si
Computacion,Virtual,No,29,6.8,84,Si
Arquitectura,Presencial,No,28,9.6,80,Si
Derecho,Virtual,No,22,7.9,92,Si
Derecho,Hibrida,Si,20,7.2,61,Si
Medicina,Virtual,Si,29,10.0,68,No
Economia,Virtual,No,28,7.3,72,No
Medicina,Virtual,Si,30,5.3,59,No
Economia,Virtual,Si,20,8.4,73,Si
Computacion,Virtual,Si,20,10.0,65,Si
Medicina,Presencial,No,30,5.6,80,No
Arquitectura,Presencial,No,28,6.2,65,Si
Computacion,Virtual,No,20,6.4,68,No
Industrial,Virtual,No,27,5.3,38,No
Industrial,Hibrida,No,24,8.2,80,Si
Industrial,Presencial,Si,28,8.6,100,Si
Industrial,Virtual,Si,27,5.2,74,No
Economia,Hibrida,No,19,8.1,95,Si
Computacion,Hibrida,No,30,4.3,58,No
Medicina,Hibrida,Si,26,7.1,74,No
Industrial,Presencial,Si,18,6.6,94,No
Computacion,Virtual,Si,22,7.1,90,Si
Industrial,Virtual,No,24,6.7,57,No
Industrial,Hibrida,Si,28,9.299999999999999,57,No
Arquitectura,Presencial,Si,18,8.9,69,No
Medicina,Hibrida,No,21,5.5,79,Si
Industrial,Presencial,Si,30,8.6,89,Si
Computacion,Presencial,Si,19,5.0,52,No
Computacion,Presencial,Si,24,6.8,84,No
Computacion,Presencial,No,21,8.9,96,Si
Arquitectura,Hibrida,No,21,5.8,59,No
Arquitectura,Presencial,No,22,5.7,85,No
Industrial,Presencial,No,26,7.0,72,No
Industrial,Virtual,No,29,6.5,45,No
Arquitectura,Virtual,Si,21,6.3999999999999995,86,No
Arquitectura,Virtual,No,26,7.2,62,Si
Economia,Hibrida,Si,25,9.5,55,No
Computacion,Virtual,No,28,7.6,45,No
Arquitectura,Hibrida,Si,25,5.5,71,No
Derecho,Presencial,Si,29,10.0,80,Si
Industrial,Presencial,No,21,7.3,99,Si
Medicina,Hibrida,No,22,5.6,94,No
Industrial,Virtual,No,21,6.2,70,No
Derecho,Hibrida,Si,18,6.1,87,No
Derecho,Presencial,No,21,6.3,65,No
Industrial,Hibrida,No,22,8.6,81,Si
Industrial,Hibrida,No,25,5.0,100,No
Derecho,Hibrida,No,20,9.5,84,Si
Computacion,Hibrida,Si,19,9.7,92,Si
Derecho,Hibrida,Si,19,8.399999999999999,50,No
Computacion,Hibrida,No,28,6.9,50,No
Medicina,Presencial,Si,26,8.3,93,Si
Industrial,Virtual,Si,19,9.7,74,No
Economia,Virtual,No,30,6.4,56,No
Derecho,Hibrida,Si,22,8.6,55,No
Computacion,Presencial,No,24,6.3,80,Si
Computacion,Hibrida,Si,19,7.5,77,Si
Computacion,Hibrida,Si,21,6.0,94,No
Computacion,Presencial,No,26,7.4,52,No
Economia,Presencial,Si,27,5.6000000000000005,95,No
Economia,Presencial,Si,27,9.5,74,Si
Medicina,Hibrida,Si,30,10.0,100,Si
Computacion,Presencial,No,21,9.0,71,No
Arquitectura,Hibrida,No,30,6.0,90,Si
Medicina,Virtual,Si,23,7.8,75,Si
Computacion,Hibrida,No,30,5.5,54,No
Derecho,Virtual,Si,29,6.3999999999999995,65,No
Medicina,Virtual,No,19,4.8,53,No
Arquitectura,Virtual,Si,18,5.0,78,No
Medicina,Presencial,No,24,6.3,68,No
Derecho,Hibrida,Si,28,6.5,58,No
Derecho,Presencial,Si,24,6.1000000000000005,69,Si
Economia,Presencial,No,27,7.7,79,Si
Economia,Presencial,No,23,9.0,74,No
Economia,Virtual,No,24,8.9,82,Si
Arquitectura,Hibrida,Si,25,6.7,75,Si
Industrial,Hibrida,No,27,8.7,70,Si
Medicina,Virtual,Si,27,6.0,86,No
Industrial,Presencial,No,30,5.7,94,Si
Medicina,Hibrida,No,20,7.8,74,No
Industrial,Virtual,No,19,6.7,68,No
Arquitectura,Hibrida,No,26,4.2,73,No
Arquitectura,Hibrida,Si,19,9.1,92,Si
Arquitectura,Presencial,No,30,6.0,100,No
Computacion,Presencial,No,21,7.1,83,Si
Industrial,Hibrida,Si,25,6.8,79,No
Arquitectura,Presencial,No,18,6.9,68,No
Computacion,Presencial,Si,23,6.5,79,No
Economia,Virtual,Si,25,8.4,63,Si
Industrial,Presencial,Si,23,8.5,93,Si
Industrial,Presencial,Si,26,5.3,85,No
Medicina,Hibrida,Si,20,7.8,88,Si
Derecho,Virtual,No,24,4.0,52,No
Industrial,Presencial,Si,30,9.5,61,Si
Computacion,Virtual,No,26,9.8,53,No
Arquitectura,Presencial,No,23,9.1,89,Si
Industrial,Hibrida,No,27,7.5,93,Si
Computacion,Presencial,No,19,5.1,94,No
Medicina,Virtual,Si,27,6.7,63,No
Derecho,Presencial,No,25,7.7,72,No
Medicina,Presencial,Si,24,10.0,97,Si
Medicina,Hibrida,No,25,5.0,91,No
Derecho,Virtual,Si,22,5.8999999999999995,58,No
Medicina,Hibrida,Si,27,5.4,100,No
Computacion,Hibrida,No,26,5.3,77,No
Industrial,Presencial,No,18,6.7,72,No
Computacion,Virtual,Si,30,9.6,47,No
Medicina,Presencial,Si,30,5.7,68,No
Arquitectura,Hibrida,Si,23,10.0,68,Si
Arquitectura,Hibrida,Si,20,10.0,100,Si
Economia,Hibrida,Si,29,9.299999999999999,65,Si
Derecho,Hibrida,No,25,4.9,90,No
Medicina,Virtual,No,19,7.8,88,Si
Economia,Hibrida,No,25,9.7,70,Si
Industrial,Presencial,No,28,8.0,72,No
Arquitectura,Virtual,Si,24,9.200000000000001,68,Si
Arquitectura,Hibrida,Si,27,9.4,100,Si
Computacion,Presencial,Si,28,8.7,79,Si
Derecho,Virtual,No,18,10.0,66,No
Derecho,Hibrida,No,20,9.2,67,Si
Economia,Virtual,Si,23,8.0,81,Si
Industrial,Hibrida,Si,24,8.0,95,Si
Computacion,Presencial,Si,26,8.1,50,No
Computacion,Virtual,Si,25,5.0,67,No
Economia,Virtual,No,20,6.3,89,No
Industrial,Presencial,Si,26,7.9,89,Si
Industrial,Presencial,Si,24,8.4,78,Si
Computacion,Presencial,Si,27,9.200000000000001,72,Si
Derecho,Presencial,No,28,4.5,85,No
Industrial,Hibrida,No,30,9.6,51,No
Industrial,Virtual,Si,26,7.8,45,No
Derecho,Virtual,No,19,5.4,83,No
Computacion,Virtual,No,20,6.3,68,Si
Industrial,Presencial,No,30,4.4,87,No
Economia,Presencial,Si,18,10.0,75,Si
Arquitectura,Virtual,No,29,6.4,81,Si
Economia,Presencial,Si,30,5.2,70,No
Industrial,Hibrida,Si,22,9.0,96,Si
Derecho,Presencial,No,19,6.7,88,Si
Industrial,Hibrida,Si,19,4.699999999999999,58,No
Economia,Hibrida,No,20,6.2,97,No
Economia,Hibrida,Si,30,10.0,71,Si
Computacion,Virtual,Si,25,7.1000000000000005,67,Si
Economia,Presencial,No,30,4.6,86,No
Computacion,Presencial,Si,18,9.399999999999999,50,No
Medicina,Presencial,Si,18,7.6,100,Si
Medicina,Hibrida,No,22,9.0,96,Si
Industrial,Presencial,Si,21,9.600000000000001,52,No
Medicina,Virtual,No,23,4.5,68,No
Arquitectura,Virtual,Si,25,6.8,70,No
Derecho,Presencial,Si,24,4.3999999999999995,84,No
Computacion,Virtual,Si,30,8.0,83,Si
Derecho,Virtual,No,18,9.8,46,No
Derecho,Hibrida,No,29,9.4,79,Si
Computacion,Hibrida,Si,26,4.8999999999999995,75,No
Medicina,Hibrida,Si,21,6.3999999999999995,81,No
Economia,Virtual,No,21,4.4,53,No
Arquitectura,Presencial,Si,19,5.3,79,No
Economia,Presencial,No,22,6.8,57,No
Industrial,Virtual,Si,21,9.1,61,Si
Economia,Virtual,Si,28,6.6,56,No
Arquitectura,Hibrida,Si,19,6.8999999999999995,100,Si
Derecho,Presencial,Si,24,7.0,90,Si
Arquitectura,Virtual,Si,18,10.0,43,No
Economia,Presencial,Si,25,4.6,86,No
Medicina,Presencial,No,28,6.6,80,No
Economia,Virtual,No,20,4.2,77,No
Medicina,Virtual,No,18,4.5,63,No
Arquitectura,Presencial,Si,24,9.1,72,No
Economia,Hibrida,No,24,5.6,51,No
Derecho,Presencial,No,18,8.9,80,Si
Arquitectura,Presencial,Si,19,5.7,65,No
Industrial,Presencial,Si,27,9.4,74,No
Derecho,Presencial,Si,27,6.5,97,No
Computacion,Hibrida,No,27,7.4,86,Si
Medicina,Hibrida,No,20,6.9,60,Si
Derecho,Presencial,No,18,6.0,89,Si
Derecho,Virtual,Si,30,9.1,64,Si
Derecho,Presencial,No,19,6.2,92,Si
Computacion,Virtual,No,23,4.8,42,No
Medicina,Hibrida,No,20,8.2,99,Si
Derecho,Hibrida,Si,24,6.0,94,Si
Computacion,Hibrida,No,30,9.8,52,No
Economia,Hibrida,Si,28,7.5,81,Si
Derecho,Virtual,No,20,7.8,40,No
Economia,Presencial,Si,29,5.0,66,No
Computacion,Virtual,No,29,6.5,42,No
Medicina,Virtual,No,19,9.0,100,Si
Computacion,Presencial,No,18,5.9,56,No
Derecho,Virtual,Si,29,5.0,40,No
Medicina,Hibrida,Si,24,10.0,74,Si
Computacion,Virtual,Si,21,7.0,72,Si
Computacion,Presencial,No,27,7.3,81,Si
Economia,Presencial,No,19,5.8,92,No
Medicina,Presencial,Si,18,6.0,99,No
Computacion,Virtual,No,25,6.9,79,Si
Arquitectura,Virtual,Si,23,9.700000000000001,63,Si
Medicina,Virtual,Si,22,7.5,66,Si
Arquitectura,Virtual,Si,26,5.2,56,No
Medicina,Hibrida,Si,25,6.2,80,No
Arquitectura,Hibrida,Si,19,9.799999999999999,78,Si
Derecho,Presencial,Si,18,6.8,93,No
Industrial,Presencial,No,23,9.5,54,No
Arquitectura,Virtual,No,22,7.1,32,No
Derecho,Presencial,Si,19,8.0,56,No
Economia,Virtual,No,24,7.9,66,Si
Economia,Virtual,Si,27,7.7,77,Si
Economia,Hibrida,Si,18,9.2,67,Si
Economia,Virtual,No,25,9.1,85,Si
Derecho,Presencial,No,29,6.7,70,Si
Medicina,Hibrida,Si,21,7.3,88,Si
Computacion,Hibrida,Si,19,6.2,82,No
Arquitectura,Hibrida,Si,20,5.9,62,Si
Medicina,Presencial,No,29,5.2,85,No
Industrial,Presencial,Si,21,6.6000000000000005,88,No
Medicina,Hibrida,No,23,5.0,72,No
Medicina,Presencial,Si,27,9.2,71,No
Economia,Hibrida,No,26,4.1,99,No
Industrial,Presencial,No,20,7.9,88,Si
Derecho,Virtual,No,29,9.8,78,Si
Medicina,Virtual,No,22,5.3,67,No
Computacion,Hibrida,No,26,7.9,88,Si
Industrial,Presencial,No,19,6.0,67,No
Economia,Virtual,No,21,4.9,86,No
Arquitectura,Virtual,No,28,4.8,31,No
Economia,Virtual,No,24,8.4,76,Si
Industrial,Presencial,No,28,6.2,69,No
Industrial,Hibrida,Si,22,5.199999999999999,58,No
Arquitectura,Presencial,No,28,4.5,72,No
Economia,Virtual,No,23,5.6,49,No
Medicina,Presencial,Si,25,10.0,88,Si
Economia,Virtual,Si,20,5.1,47,No
Medicina,Presencial,No,29,5.1,67,No
Derecho,Virtual,Si,18,7.2,53,No
Computacion,Presencial,No,28,6.6,77,No
Medicina,Presencial,Si,26,5.9,78,No
Arquitectura,Presencial,Si,28,4.2,96,No
Economia,Virtual,Si,19,6.3999999999999995,73,No
Economia,Virtual,No,29,7.1,68,Si
Industrial,Presencial,No,25,6.2,62,Si
Medicina,Presencial,Si,21,9.0,66,Si
Derecho,Presencial,No,29,7.9,52,No
Industrial,Virtual,Si,27,10.0,84,Si
Industrial,Presencial,No,25,6.3,85,Si
Industrial,Presencial,Si,29,8.299999999999999,50,No
Industrial,Hibrida,No,27,7.6,58,No
Computacion,Hibrida,Si,22,5.1000000000000005,56,No
Economia,Hibrida,Si,23,8.299999999999999,68,Si
Derecho,Hibrida,No,23,5.4,50,No
Computacion,Hibrida,No,20,9.7,99,Si
Industrial,Hibrida,Si,22,8.700000000000001,79,Si
Medicina,Presencial,Si,20,9.799999999999999,78,Si
Industrial,Presencial,Si,30,10.0,50,No
Derecho,Virtual,No,25,9.7,60,Si
Economia,Presencial,Si,24,6.6000000000000005,79,Si
Medicina,Virtual,Si,19,4.8999999999999995,91,No
Medicina,Hibrida,No,20,7.7,100,Si
Industrial,Hibrida,Si,25,10.0,57,No
Computacion,Virtual,No,18,8.2,81,Si
Industrial,Virtual,Si,24,8.3,45,No
Medicina,Presencial,Si,18,8.6,73,No
Derecho,Presencial,No,23,5.4,67,No
Derecho,Hibrida,No,24,8.9,55,No
Arquitectura,Virtual,Si,25,7.3,37,No
Medicina,Virtual,Si,26,8.0,55,No
Industrial,Hibrida,No,23,6.2,53,No
Medicina,Virtual,No,29,7.9,99,Si
Industrial,Presencial,Si,23,6.8999999999999995,90,Si
Arquitectura,Virtual,Si,18,10.0,72,No
Medicina,Presencial,No,27,5.2,68,No
Derecho,Hibrida,No,19,8.5,52,No
Industrial,Hibrida,Si,30,9.9,79,Si
Derecho,Virtual,Si,26,9.1,67,Si
Arquitectura,Presencial,Si,29,9.200000000000001,56,No
Economia,Hibrida,No,24,9.9,94,Si
Economia,Virtual,No,22,6.7,49,No
Industrial,Hibrida,No,29,7.3,70,No
Arquitectura,Hibrida,Si,21,5.5,95,Si
Industrial,Presencial,Si,26,7.6,90,Si
Economia,Hibrida,No,27,7.4,92,Si
Industrial,Hibrida,No,24,8.8,83,Si
Medicina,Presencial,Si,28,5.1,74,No
Derecho,Presencial,No,21,8.5,52,No
Medicina,Presencial,Si,29,8.3,82,Si
Industrial,Virtual,Si,24,7.1,85,Si
Industrial,Virtual,Si,27,9.899999999999999,66,No
Industrial,Virtual,Si,30,8.700000000000001,48,No
Computacion,Presencial,Si,29,7.1,74,Si
Economia,Presencial,Si,27,9.4,50,No
Derecho,Presencial,Si,23,8.299999999999999,99,Si
Industrial,Virtual,No,30,7.4,65,No
Economia,Hibrida,Si,20,7.5,100,Si
Arquitectura,Virtual,Si,23,5.6,48,No
Arquitectura,Hibrida,No,26,8.9,91,Si
Industrial,Virtual,No,21,9.4,77,Si
Industrial,Virtual,No,30,9.7,61,Si
Economia,Presencial,No,26,8.8,78,Si
Economia,Hibrida,Si,23,7.199999999999999,56,No
Arquitectura,Hibrida,Si,28,4.9,92,No
Industrial,Virtual,Si,21,7.7,76,Si
Industrial,Hibrida,Si,18,6.8,71,Si
Derecho,Virtual,Si,27,9.200000000000001,48,No
Medicina,Virtual,Si,24,8.6,82,Si
Industrial,Presencial,No,26,4.6,100,No
Arquitectura,Presencial,No,30,9.6,74,Si
Industrial,Presencial,No,20,7.2,58,No
Arquitectura,Virtual,Si,22,8.9,84,Si
Arquitectura,Presencial,Si,18,4.3,88,No
Computacion,Virtual,Si,29,8.6,80,Si
Arquitectura,Presencial,Si,20,5.5,66,Si
Arquitectura,Presencial,No,28,7.3,68,No
Economia,Presencial,Si,29,7.8,71,No
Derecho,Presencial,No,27,4.4,62,No
